Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,135.25,-93.75,270.0,top
BT1,117.0,-50.0,270.0,top
C1,140.0,-54.0,90.0,top
C10,140.475,-93.8,0.0,top
C2,140.0,-66.0,270.0,top
C3,153.0,-53.0,0.0,top
C4,153.0,-50.0,0.0,top
C6,130.0,-68.0,180.0,top
C7,142.8,-101.525,270.0,top
C8,147.0,-82.0,0.0,top
C9,139.0,-99.0,90.0,top
D1,130.0,-76.0,180.0,top
EN1,145.75,-99.25,90.0,top
J1,134.0,-52.0,180.0,top
J6,182.475,-57.75,90.0,top
J7,145.0,-62.0,90.0,top
J8,155.0,-76.0,0.0,top
J9,134.0,-42.0,135.0,top
Q1,137.0,-85.275,0.0,top
Q2,137.0,-89.0,0.0,top
R1,130.0,-72.0,0.0,top
R10,89.0,-110.0,90.0,top
R12,132.0,-90.0,0.0,top
R13,135.0,-72.0,90.0,top
R14,144.0,-86.0,90.0,top
R15,140.4,-88.0,270.0,top
R16,131.0,-85.0,270.0,top
R17,167.0,-72.0,0.0,top
R18,139.0,-70.15,0.0,top
R2,80.4125,-110.0,0.0,top
R3,109.5875,-109.91,0.0,top
R4,139.0,-110.0,0.0,top
R5,165.5375,-110.0,0.0,top
R6,146.6,-53.5375,90.0,top
R7,174.0,-109.5375,90.0,top
R8,147.0,-110.0,90.0,top
R9,118.0,-110.0,90.0,top
U1,133.0,-61.0,180.0,top
U2,167.0,-57.0,0.0,top
U3,140.0,-78.0,0.0,top
Y1,132.55,-105.0,0.0,top
